"time","i"
0,0
0.0001,0.0009923529859631271
0.0002,0.001968937973324741
0.0003,0.002929053901275282
0.0004,0.003871982566423837
0.0005,0.004797022610046399
0.0005999999999999999,0.005703542942552088
0.0007,0.00659091610660007
0.0008,0.007458531264570099
0.0009,0.008305828268647409
0.001,0.00913227441787349
0.0011,0.009937347719772598
0.0012,0.01072057052933011
0.0013,0.01148148923176215
0.0014,0.01221967475580731
0.0015,0.01293474056858386
0.0016,0.01362632012729533
0.0017,0.0142940792495535
0.0018,0.01493771116898729
0.0019,0.01555693605104445
0.002,0.01615150276154208
0.0021,0.01672118806521423
0.0022,0.01726579677146124
0.0023,0.01778516140847496
0.0024,0.01827914223547551
0.0025,0.01874762712923634
0.0026,0.0191905305784593
0.0027,0.01960779457585816
0.0028,0.01999938760169503
0.0029,0.02036530234522484
0.003,0.02070555890757671
0.0031,0.02102020185269881
0.0032,0.02130929865938958
0.0033,0.02157294252034236
0.0034,0.02181124969786754
0.0035,0.02202436111519469
0.0036,0.02221244233889623
0.0037,0.02237567931458334
0.0038,0.02251428154641893
0.0039,0.02262847428641404
0.004,0.0227185053255799
0.0041,0.02278464542569195
0.0042,0.022827183225224
0.0043,0.0228464325792674
0.0044,0.02284272100356124
0.0045,0.0228163959942365
0.0046,0.02276782215745958
0.0047,0.02269737085132792
0.0048,0.02260544155127591
0.0049,0.02249244488282453
0.005,0.02235880760070683
0.0051,0.02220497287790265
0.0052,0.02203139446373873
0.0053,0.02183854075404766
0.0054,0.02162688740007489
0.0055,0.02139692188392022
0.0056,0.02114914591320286
0.0057,0.02088406906547328
0.0058,0.0206022145439663
0.0059,0.02030411084212607
0.006,0.01999029500692393
0.0061,0.01966131203720113
0.0062,0.01931771292749095
0.0063,0.01896005596001002
0.0064,0.01858890464725282
0.0065,0.01820482816884813
0.0066,0.01780840171149774
0.0067,0.01740020223438516
0.0068,0.01698081086526123
0.0069,0.01655081034368088
0.007,0.01611078516252357
0.0071,0.01566132218102169
0.0072,0.0152030083839501
0.0073,0.01473643050390618
0.0074,0.01426217471006685
0.0075,0.01378082583683804
0.0076,0.01329296675340008
0.0077,0.01279917980319677
0.0078,0.01230004210278128
0.007900000000000001,0.01179612782374275
0.008,0.01128800807195825
0.0081,0.01077625313498369
0.008200000000000001,0.0102614236442016
0.0083,0.009744076628625283
0.008399999999999999,0.009224762265732061
0.008500000000000001,0.008704023674906185
0.0086,0.008182398120351408
0.008699999999999999,0.007660414582789714
0.008800000000000001,0.007138601168152988
0.0089,0.006617474651557663
0.008999999999999999,0.006097541829185304
0.0091,0.005579302482688211
0.0092,0.005063238771120887
0.009299999999999999,0.004549831306403063
0.0094,0.004039547259213311
0.0095,0.003532844914335939
0.009599999999999999,0.00303018293196218
0.0097,0.002531995640992685
0.0098,0.002038711389797655
0.009900000000000001,0.001550747324919335
0.01,0.001068509087532797
0.0101,0.0005923909506256816
0.0102,0.000122775121070899
0.0103,-0.0003399695031704416
0.0104,-0.0007954864144630591
0.0105,-0.001243431662335038
0.0106,-0.0016834749371112
0.0107,-0.002115291837566341
0.0108,-0.002538577894249155
0.0109,-0.002953040410903921
0.011,-0.003358399804680448
0.0111,-0.003754390498966738
0.0112,-0.004140760330353562
0.0113,-0.004517271330071383
0.0114,-0.004883696301131057
0.0115,-0.005239816729184102
0.0116,-0.005585435319318273
0.0117,-0.005920365079024039
0.0118,-0.006244432308671441
0.0119,-0.006557478099724913
0.012,-0.00685935586039395
0.0121,-0.007149932536723995
0.0122,-0.007429088844445522
0.0123,-0.007696717504542546
0.0124,-0.007952719475395238
0.0125,-0.008197016333826442
0.0126,-0.008429539851580807
0.0127,-0.008650234785133305
0.0128,-0.008859057594391987
0.0129,-0.009055978136636065
0.013,-0.009240979534650938
0.0131,-0.009414057240786566
0.0132,-0.009575218282721516
0.0133,-0.009724471719127516
0.0134,-0.009861851455331598
0.0135,-0.009987398231817105
0.0136,-0.01010116417403976
0.0137,-0.01020321131903076
0.0138,-0.01029361257552775
0.0139,-0.01037245303933092
0.014,-0.01043982770763441
0.0141,-0.01049584199836129
0.0142,-0.01054060279471794
0.0143,-0.01057423641611832
0.0144,-0.01059687519335059
0.0145,-0.01060866037977353
0.0146,-0.01060974188863303
0.0147,-0.01060027804901807
0.0148,-0.01058043575395295
0.0149,-0.01055038984630782
0.015,-0.01051032299518286
0.0151,-0.01046042063281514
0.0152,-0.01040087941791931
0.0153,-0.01033190239310935
0.0154,-0.01025369841995476
0.0155,-0.01016648253358022
0.0156,-0.0100704757877443
0.0157,-0.009965904533476738
0.0158,-0.009853000520876775
0.0159,-0.009732000517853846
0.016,-0.009603143409445673
0.0161,-0.00946667369711994
0.0162,-0.009322840719127611
0.0163,-0.009171896685918429
0.0164,-0.009014097205106568
0.0165,-0.008849702000148953
0.0166,-0.008678972066078698
0.0167,-0.008502171368260923
0.0168,-0.008319566018205812
0.0169,-0.008131423184978748
0.017,-0.007938011513298562
0.0171,-0.007739601562337689
0.0172,-0.007536464331533393
0.0173,-0.00732887133119066
0.0174,-0.007117097104257009
0.0175,-0.006901413002140376
0.0176,-0.006682091298567116
0.0177,-0.006459403773447556
0.0178,-0.006233621554528765
0.0179,-0.006005014823864336
0.018,-0.005773852166435374
0.0181,-0.005540400656239724
0.0182,-0.005304925460778254
0.0183,-0.005067692565105723
0.0184,-0.004828962961405552
0.0185,-0.004588995451832925
0.0186,-0.004348046405367023
0.0187,-0.004106369587526845
0.0188,-0.003864216568063507
0.0189,-0.003621833928806713
0.019,-0.003379465222089111
