"time","v_C","v_S"
0,0,1
0.0001,0.0004970777480488633,1
0.0002,0.001978443697211815,1
0.0003,0.004428675591574571,1
0.0004,0.007830915716583762,1
0.0005,0.01216708370113004,1
0.0005999999999999999,0.01741883325234307,1
0.0007,0.02356731945595825,1
0.0008,0.03059332090165936,1
0.0009,0.03847680834798124,1
0.001,0.04719709053693168,1
0.0011,0.05673331109639389,1
0.0012,0.06706378416406522,1
0.0013,0.07816646405156141,1
0.0014,0.0900189155632241,1
0.0015,0.1025980736139547,1
0.0016,0.1158806476657991,1
0.0017,0.1298429205832324,1
0.0018,0.1444608952752829,1
0.0019,0.1597103129595089,1
0.002,0.1755666353235872,1
0.0021,0.1920050893383113,1
0.0022,0.2090006953874752,1
0.0023,0.2265282935095022,1
0.0024,0.2445625826475756,1
0.0025,0.2630781470835979,1
0.0026,0.2820494222360533,1
0.0027,0.3014508072863506,1
0.0028,0.3212566380265756,1
0.0029,0.3414412230298535,1
0.003,0.3619788690698096,1
0.0031,0.3828439161023673,1
0.0032,0.4040108151401942,1
0.0033,0.4254540564449261,1
0.0034,0.4471482650921481,1
0.0035,0.4690681560001021,1
0.0036,0.4911885458051951,1
0.0037,0.5134845240160641,1
0.0038,0.5359313449784588,1
0.0039,0.5585045065394382,1
0.004,0.5811797543785716,1
0.0041,0.6039331041185484,1
0.0042,0.6267408788847529,1
0.0043,0.649579480992841,1
0.0044,0.672425854050287,1
0.0045,0.6952572352603188,1
0.0046,0.7180511944977825,1
0.0047,0.7407855462122807,1
0.0048,0.7634386392165214,1
0.0049,0.7859891729327735,1
0.005,0.8084163046782392,1
0.0051,0.8306996914330584,1
0.0052,0.8528193741721168,1
0.0053,0.8747559167284933,1
0.0054,0.8964901852265359,1
0.0055,0.9180035600078813,1
0.0056,0.9392780660559271,1
0.0057,0.9602961763995669,1
0.0058,0.9810407189983047,1
0.0059,1.001495179937873,1
0.006,1.021643566367729,1
0.0061,1.041470421124017,1
0.0062,1.060960943172163,1
0.0063,1.080100801170771,1
0.0064,1.098876290139142,1
0.0065,1.117274210217524,1
0.0066,1.135281747653072,1
0.0067,1.152886963365591,1
0.0068,1.170078400840258,1
0.0069,1.186845098353034,1
0.007,1.203176660712276,1
0.0071,1.219063372009402,1
0.0072,1.234496060159082,1
0.0073,1.249466240523847,1
0.0074,1.26396597282837,1
0.0075,1.277987921323701,1
0.0076,1.291525369985318,1
0.0077,1.304571840745634,1
0.0078,1.317121835912359,1
0.007900000000000001,1.329170311058776,1
0.008,1.340712769827015,1
0.0081,1.351745181977042,1
0.008200000000000001,1.3622642166126,1
0.0083,1.372267052005813,1
0.008399999999999999,1.381751466257514,1
0.008500000000000001,1.390715820018469,1
0.0086,1.399158976445497,1
0.008699999999999999,1.407080382859224,1
0.008800000000000001,1.414479784517905,1
0.0089,1.421357570269258,1
0.008999999999999999,1.427714703937718,1
0.0091,1.433552599138429,1
0.0092,1.438873351117106,1
0.009299999999999999,1.443679374950123,1
0.0094,1.447973645686956,1
0.0095,1.451759569112606,1
0.009599999999999999,1.455040706001984,1
0.0097,1.457821438604118,1
0.0098,1.460106442287828,1
0.009900000000000001,1.461900818002798,1
0.01,1.463210082319475,1
0.0101,1.464040127701101,1
0.0102,1.464397239182105,1
0.0103,1.464288118881901,1
0.0104,1.463719826454648,1
0.0105,1.46269976330548,1
0.0106,1.461235693773775,1
0.0107,1.459335591246998,1
0.0108,1.45700786315732,1
0.0109,1.45426119616807,1
0.011,1.45110456297775,1
0.0111,1.44754721566173,1
0.0112,1.443598675733302,1
0.0113,1.43926872079716,1
0.0114,1.434567325819468,1
0.0115,1.429504620158708,1
0.0116,1.424091043435921,1
0.0117,1.418337182550458,1
0.0118,1.412253797768145,1
0.0119,1.405851886129598,1
0.012,1.399142535872542,1
0.0121,1.392136975261372,1
0.0122,1.38484656937535,1
0.0123,1.377282790242776,1
0.0124,1.369457188007496,1
0.0125,1.361381428274492,1
0.0126,1.353067236001122,1
0.0127,1.344526393537296,1
0.0128,1.335770797033148,1
0.0129,1.326812346313761,1
0.013,1.317662936949617,1
0.0131,1.308334497333677,1
0.0132,1.298838954297864,1
0.0133,1.28918820435393,1
0.0134,1.279394139908861,1
0.0135,1.269468606121361,1
0.0136,1.259423396086458,1
0.0137,1.249270293439217,1
