"time","rv.Wref","rv.W"
0,180,180
0.0008333333333333334,180,180
0.001666666666666667,180,180
0.0025,180,180
0.003333333333333334,180,180
0.004166666666666667,180,180
0.005,180,180
0.005833333333333334,180,180
0.006666666666666667,180,180
0.0075,180,180
0.008333333333333333,180,180
0.009166666666666667,180,180
0.01,180,180
0.01083333333333333,180,180
0.01166666666666667,180,180
0.0125,180,180
0.01333333333333333,180,180
0.01416666666666667,180,180
0.015,180,180
0.01583333333333333,180,180
0.01666666666666667,180,180
0.0175,180,180
0.01833333333333333,180,180
0.01916666666666667,180,180
0.02,180,180
0.02083333333333333,180,180
0.02166666666666667,180,180
0.0225,180,180
0.02333333333333333,180,180
0.02416666666666667,180,180
0.025,180,180
0.02583333333333333,180,180
0.02666666666666667,180,180
0.0275,180,180
0.02833333333333333,180,180
0.02916666666666667,180,180
0.03,180,180
0.03083333333333333,180,180
0.03166666666666667,180,180
0.0325,180,180
0.03333333333333333,180,180
0.03416666666666666,180,180
0.035,180,180
0.03583333333333334,180,180
0.03666666666666667,180,180
0.0375,180,180
0.03833333333333333,180,180
0.03916666666666667,180,180
0.04,180,180
0.04083333333333333,180,180
0.04166666666666666,180,180
0.0425,180,180
0.04333333333333333,180,180
0.04416666666666667,180,180
0.045,180,180
0.04583333333333333,180,180
0.04666666666666667,180,180
0.0475,180,180
0.04833333333333333,180,180
0.04916666666666666,180,180
0.05,180,180
0.05083333333333333,180,180
0.05166666666666667,180,180
0.0525,180,180
0.05333333333333334,180,180
0.05416666666666667,180,180
0.055,180,180
0.05583333333333333,180,180
0.05666666666666666,180,180
0.0575,180,180
0.05833333333333333,180,180
0.05916666666666667,180,180
0.06,180,180
0.06083333333333334,180,180
0.06166666666666667,180,180
0.0625,180,180
0.06333333333333334,180,180
0.06416666666666666,180,180
0.065,180,180
0.06583333333333333,180,180
0.06666666666666667,180,180
0.0675,180,180
0.06833333333333333,180,180
0.06916666666666667,180,180
0.07000000000000001,180,180
